Год,Тип,Название,Соавторы,Издательство,Темы,Страницы,DOI,EDN,Ссылка,Полное описание
2025,Статья в журнале,Влияние развития информационной грамотности студентов на уровень их информационной безопасности,Байбекова Г.Р.; Гурова О.Н.,АНО ВО «Институт деловой карьеры»,Информационная культура и безопасность; Культура безопасности,с. 4–10,,,,"Байбекова Г.Р., Гурова О.Н., Тимофеева Л.Л. Влияние развития информационной грамотности студентов на уровень их информационной безопасности // Научные исследования и образование № 56. Научный журнал. М.: АНО ВО «Институт деловой карьеры», 2025. 31 с. С. 4–10"
2025,Статья в сборнике,Готовность педагога к поддержке процессов гражданской идентификации детей дошкольного возраста,Михайлова А.Е.,МПСУ,Профессиональное развитие педагогов; Дошкольное образование,с. 638–643,10.51944/9785977010313.,,,"Тимофеева Л.Л., Михайлова А.Е. Готовность педагога к поддержке процессов гражданской идентификации детей дошкольного возраста // Актуальные проблемы современной России: психология, педагогика, экономика, управление и право: сборник научных трудов / отв. ред.: А.Л. Третьяков. – Том 14. – Москва: МПСУ, 2025. – 2562 с. – DOI: 10.51944/9785977010313. С. 638–643"
2025,Статья в сборнике,Духовно-нравственное воспитание детей дошкольного возраста как фактор обеспечения национальной безопасности России,Михайлова А.Е.,МПГУ,Культура безопасности; Духовно-нравственное воспитание,с. 217–224,,,,"Михайлова А.Е., Тимофеева Л.Л. Духовно-нравственное воспитание детей дошкольного возраста как фактор обеспечения национальной безопасности России // Национальная безопасность Российской Федерации и сбережение российского народа: материалы VIII Международной научно-практической конференции, г. Москва, 27 ноября 2025 г. / под общ. ред. проф. Н. Е. Симонова. [Электронное издание сетевого распространения]. – Москва: МПГУ, 2025. – 559 с.: ил. С. 217–224"
2025,Статья в сборнике,Естественно-научная грамотность младшего школьника: система формирования навыков применения научных методов познания природы,,ФГБУ «Российская академия образования»,Естественно-научная грамотность; Функциональная грамотность,с. 116–121,,,,"Тимофеева Л.Л. Естественно-научная грамотность младшего школьника: система формирования навыков применения научных методов познания природы // Актуальные перспективы развития функциональной грамотности: сборник материалов Всероссийского форума экспертов по функциональной грамотности с международным участием (Москва, 09–10 апреля 2025 года). – М.: ФГБУ «Российская академия образования», 2025. – 134 с. С. 116–121"
2025,Статья в сборнике,Задачи формирования социальной грамотности на уровнях дошкольного и начального общего образования: реализация принципа преемственности,Бутримова И.В.,М-ПАРК,Функциональная грамотность; Планирование образовательной деятельности,с. 9–12,,,,"Бутримова И.В., Тимофеева Л.Л. Задачи формирования социальной грамотности на уровнях дошкольного и начального общего образования: реализация принципа преемственности // Формирование у детей дошкольного возраста предпосылок социальной грамотности: теоретические подходы и опыт ДОО: сборник научных трудов и методических материалов / отв. ред. Л.Л. Тимофеева, Л.И. Павлова. — Электрон. текстовые дан. (11,8 Мб). — Москва : М-ПАРК, 2025. С. 9–12"
2025,Статья в журнале,Изучение влияния эмоционального интеллекта руководителя организации на его способность реализовывать стратегии трансформационного лидерства,Юсупова А.С.; Чугунова Е.С.,,,с. 98–103,,,,"Юсупова А.С., Тимофеева Л.Л., Чугунова Е.С. Изучение влияния эмоционального интеллекта руководителя организации на его способность реализовывать стратегии трансформационного лидерства // Высшее образование сегодня. 2025. № 1. С. 98–103"
2025,Статья в журнале,Квазиэксперимент как инструмент оценки эффективности педагогических моделей формирования компетентности студентов в сфере информационной безопасности,Гурова О.Н.,,Информационная культура и безопасность; Культура безопасности,,,,,"Гурова О.Н., Тимофеева Л.Л. Квазиэксперимент как инструмент оценки эффективности педагогических моделей формирования компетентности студентов в сфере информационной безопасности // Кризисная психология. 2025"
2025,Статья в сборнике,Методологические основы изучения проблем формирования предпосылок природной и социальной экологической грамотности у детей дошкольного возраста,Третьяков А.Л.,Государственный университет просвещения,Функциональная грамотность; Экологическое образование,с. 288–293,,,,"Тимофеева Л.Л., Третьяков А.Л. Методологические основы изучения проблем формирования предпосылок природной и социальной экологической грамотности у детей дошкольного возраста // Педагогическое образование и современная наука: проблемы и перспективы развития: сборник научных трудов /отв. ред. О. Г. Федоров, А. С. Москвина, А. Л. Третьяков. – Вып. № 2. – Электрон. текстовые дан. (13 Мб). – Москва: Государственный университет просвещения, 2025. С. 288–293"
2025,Статья в сборнике,Моисеева в основе изучения эволюции культуры безопасности индивида и общества,Идеи Н.Н.,РАН,Культура безопасности,,,,,"Тимофеева Л.Л. Идеи Н.Н. Моисеева в основе изучения эволюции культуры безопасности индивида и общества // Система «УЧИТЕЛЬ» академика Н.Н. Моисеева и современность. Философские, эколого-политологические и педагогические основания для научного анализа. Доклады и материалы ХХХII Моисеевских чтений 5-7 марта 2025 г. Под общ. ред. ак. М.Ч. Залиханова, проф. В.А. Корниловича, проф. МНЭПУ С.А. Степанова, сост. доц. В.Н. Петрищев, А.А. Клименок. Научное издание. – М.: РАН, 2025, 220 с"
2025,Статья в журнале,Обеспечение безопасности детей в летний период,,,Культура безопасности,с. 1–4,,,,Тимофеева Л.Л. Обеспечение безопасности детей в летний период // Обруч. Дошкольное и начальное образование. 2025. № 2. С. 1–4
2025,Статья в сборнике,Обеспечение безопасности детей в летний период,,М-ПАРК,Культура безопасности,с. 88–91,,,,"Тимофеева Л.Л. Обеспечение безопасности детей в летний период // Формирование у детей дошкольного возраста предпосылок социальной грамотности: теоретические подходы и опыт ДОО: сборник научных трудов и методических материалов / отв. ред. Л.Л. Тимофеева, Л.И. Павлова. — Электрон. текстовые дан. (11,8 Мб). — Москва : М-ПАРК, 2025. С. 88–91"
2025,Статья в сборнике,Основы методологического обеспечения исследования предпосылок формирования природной и социальной экологической грамотности дошкольников,Третьяков А.Л.,МПСУ,Функциональная грамотность; Экологическое образование,с. 1633–1638,10.51944/9785977010313.,,,"Тимофеева Л.Л., Третьяков А.Л. Основы методологического обеспечения исследования предпосылок формирования природной и социальной экологической грамотности дошкольников // Актуальные проблемы современной России: психология, педагогика, экономика, управление и право: сборник научных трудов / отв. ред.: А.Л. Третьяков. – Том 14. – Москва: МПСУ, 2025. – 2562 с. – DOI: 10.51944/9785977010313. С. 1633–1638"
2025,Статья в сборнике,Поддержка процессов идентификации детей дошкольного возраста в условиях «цифровой социализации»,Михайлова А.Е.,Государственный университет просвещения,Информационная культура и безопасность; Дошкольное образование,с. 179–185,,,,"Михайлова А.Е., Тимофеева Л.Л. Поддержка процессов идентификации детей дошкольного возраста в условиях «цифровой социализации» // Педагогическое образование и современная наука: проблемы и перспективы развития: сборник научных трудов / отв. ред. О.Г. Федоров, А.С. Москвина, А.Л. Третьяков. – Вып. № 2. – Электрон. текстовые дан. (13 Мб). – Москва: Государственный университет просвещения, 2025. С. 179–185"
2025,Статья в журнале,Понятийно-категориальный аппарат исследования проблемы формирования информационной грамотности студента колледжа,Байбекова Г.Р.,,Информационная культура и безопасность; Функциональная грамотность,с. 10–17,10.18137/RNU.HET.25.04.P.010,,,"Байбекова Г.Р., Тимофеева Л.Л. Понятийно-категориальный аппарат исследования проблемы формирования информационной грамотности студента колледжа // Высшее образование сегодня. 2025. № 4. С. 10–17. DOI: 10.18137/RNU.HET.25.04.P.010"
2025,Статья в журнале,Предпосылки возникновения и эволюция понятия «компетентность в области информационной безопасности»,Гурова О.Н.,,Информационная культура и безопасность; Культура безопасности,,,,,"Тимофеева Л.Л., Гурова О.Н. Предпосылки возникновения и эволюция понятия «компетентность в области информационной безопасности» // Кризисная психология. 2025"
2025,Статья в сборнике,Проблема готовности педагога к формированию у обучающихся начальных классов навыков применения научных методов познания,Бутримова И.В.,МПСУ,Профессиональное развитие педагогов; Начальное образование,с. 634–637,10.51944/9785977010313,,,"Тимофеева Л.Л., Бутримова И.В. Проблема готовности педагога к формированию у обучающихся начальных классов навыков применения научных методов познания // Актуальные проблемы современной России: психология, педагогика, экономика, управление и право: сборник научных трудов / отв. ред.: А.Л. Третьяков. – Том 14. – Москва: МПСУ, 2025. – 2562 с. С. 634–637. – DOI: 10.51944/9785977010313"
2025,Статья в сборнике,Проблема формирования информационной грамотности у студентов колледжа,Байбекова Г.Р.,МПСУ,Информационная культура и безопасность; Функциональная грамотность,с. 2217–2220,10.51944/9785977010313.,,,"Тимофеева Л.Л., Байбекова Г.Р. Проблема формирования информационной грамотности у студентов колледжа // Актуальные проблемы современной России: психология, педагогика, экономика, управление и право: сборник научных трудов / отв. ред.: А.Л. Третьяков. – Том 14. – Москва: МПСУ, 2025. – 2562 с. – DOI: 10.51944/9785977010313. С. 2217–2220"
2025,Статья в сборнике,Проблема формирования ценностных основ безопасного поведения у детей дошкольного возраста,Лапина В.Ю.,МПГУ,Культура безопасности; Духовно-нравственное воспитание,с. 175–182,,,,"Лапина В.Ю., Тимофеева Л.Л. Проблема формирования ценностных основ безопасного поведения у детей дошкольного возраста // Национальная безопасность Российской Федерации и сбережение российского народа: материалы VIII Международной научно-практической конференции, г. Москва, 27 ноября 2025 г. / под общ. ред. проф. Н. Е. Симонова. [Электронное издание сетевого распространения]. – Москва: МПГУ, 2025. – 559 с.: ил. С. 175–182"
2025,Статья в сборнике,Разработка учебно-методического комплекта «Культура безопасности младшего школьника»,Гафнер В.В.,МПГУ,Культура безопасности,с. 261–269,,,,"Тимофеева Л.Л., Гафнер В.В. Разработка учебно-методического комплекта «Культура безопасности младшего школьника» // Национальная безопасность Российской Федерации и сбережение российского народа: материалы VIII Международной научно-практической конференции, г. Москва, 27 ноября 2025 г. / под общ. ред. проф. Н. Е. Симонова. [Электронное издание сетевого распространения]. – Москва: МПГУ, 2025. – 559 с.: ил. С. 261–269"
2025,Статья в сборнике,Формирование компетенций в области информационной безопасности у студентов,Гурова О.Н.,МПСУ,Информационная культура и безопасность; Культура безопасности,с. 1732–1738,10.51944/9785977010313.,,,"Гурова О.Н., Тимофеева Л.Л. Формирование компетенций в области информационной безопасности у студентов // Актуальные проблемы современной России: психология, педагогика, экономика, управление и право: сборник научных трудов / отв. ред.: А.Л. Третьяков. – Том 14. – Москва: МПСУ, 2025. – 2562 с. – DOI: 10.51944/9785977010313. С. 1732–1738"
2025,Методическое пособие,Формирование культуры безопасности у детей дошкольного возраста. Старшая группа,,М-ПАРК,Культура безопасности; Дошкольное образование,,,,,"Тимофеева Л.Л. Формирование культуры безопасности у детей дошкольного возраста. Старшая группа: методическое пособие. М.: М-ПАРК, 2025. – 192 с"
2025,Статья в журнале,Формирование культуры безопасности у детей младшего школьного возраста,Гафнер В.В.,,Культура безопасности,с. 25–31,10.55090/19980736_2025_4_25_31,,,"Тимофеева Л.Л., Гафнер В.В. Формирование культуры безопасности у детей младшего школьного возраста // ОБЖ. 2025. № 4. С. 25–31. DOI: 10.55090/19980736_2025_4_25_31"
2025,Статья в журнале,Формирование предпосылок естественно-научной грамотности у детей дошкольного возраста,,,Естественно-научная грамотность; Функциональная грамотность,с. 24–30,,,,Тимофеева Л.Л. Формирование предпосылок естественно-научной грамотности у детей дошкольного возраста // Высшее образование сегодня. 2025. № 1. С. 24–30
2025,Статья в сборнике,Формирование социальной грамотности у детей дошкольного возраста,,М-ПАРК,Функциональная грамотность; Дошкольное образование,с. 5–9,,,,"Тимофеева Л.Л. Формирование социальной грамотности у детей дошкольного возраста // Формирование у детей дошкольного возраста предпосылок социальной грамотности: теоретические подходы и опыт ДОО: сборник научных трудов и методических материалов / отв. ред. Л.Л. Тимофеева, Л.И. Павлова. — Электрон. текстовые дан. (11,8 Мб). — Москва : М-ПАРК, 2025. С. 5–9"
2025,Статья в сборнике,Формирования культуры безопасности у дошкольников: построение взаимодействия участников образовательных отношений,,М-ПАРК,Культура безопасности; Дошкольное образование,с. 91–94,,,,"Тимофеева Л.Л. Формирования культуры безопасности у дошкольников: построение взаимодействия участников образовательных отношений // Формирование у детей дошкольного возраста предпосылок социальной грамотности: теоретические подходы и опыт ДОО: сборник научных трудов и методических материалов / отв. ред. Л.Л. Тимофеева, Л.И. Павлова. — Электрон. текстовые дан. (11,8 Мб). — Москва : М-ПАРК, 2025. С. 91–94"
2025,Статья в журнале,Экологическая грамотность детей дошкольного возраста: определение понятия,Третьяков А.Л.,,Функциональная грамотность; Экологическое образование,с. 64–76,10.51944/20738536_2024_4_64.,LEQGNE,,"Тимофеева Л.Л., Третьяков А.Л. Экологическая грамотность детей дошкольного возраста: определение понятия // Мир образования – образование в мире. 2025. № 4 (100). — С. 64–76. — DOI: 10.51944/20738536_2024_4_64. — EDN: LEQGNE"
2025,Статья в сборнике,"Экологическое образование в ДОО: формы организации, содержание, оценка эффективности",Третьяков А.Л.,М-ПАРК,Экологическое образование; Дошкольное образование,с. 49–52,,,,"Тимофеева Л.Л., Третьяков А.Л. Экологическое образование в ДОО: формы организации, содержание, оценка эффективности // Формирование у детей дошкольного возраста предпосылок социальной грамотности: теоретические подходы и опыт ДОО: сборник научных трудов и методических материалов / отв. ред. Л.Л. Тимофеева, Л.И. Павлова. — Электрон. текстовые дан. (11,8 Мб). — Москва : М-ПАРК, 2025. С. 49–52"
2024,Программа / планирование,Календарное планирование образовательной деятельности: в соответствии с ФОП ДО: вторая младшая группа,Бережнова О.В.; Петерсон Л.Г.; Кочемасова Е.Е.; Гризик Т.И.; Григорьева Ю.С.; Бойко В.В.,Просвещение,Планирование образовательной деятельности,,,,,"Бережнова О.В., Петерсон Л.Г., Кочемасова Е.Е., Гризик Т.И., Тимофеева Л.Л., Григорьева Ю.С., Бойко В.В. Календарное планирование образовательной деятельности: в соответствии с ФОП ДО: вторая младшая группа. М.: Просвещение, 2024. 240 с"
2024,Программа / планирование,Календарное планирование образовательной деятельности: в соответствии с ФОП ДО: средняя группа,Бережнова О.В.; Петерсон Л.Г.; Кочемасова Е.Е.; Гризик Т.И.; Григорьева Ю.С.; Бойко В.В.,Просвещение,Планирование образовательной деятельности,,,,,"Бережнова О.В., Петерсон Л.Г., Кочемасова Е.Е., Гризик Т.И., Тимофеева Л.Л., Григорьева Ю.С., Бойко В.В. Календарное планирование образовательной деятельности: в соответствии с ФОП ДО: средняя группа. М.: Просвещение, 2024. 272 с"
2024,Статья в журнале,Обеспечение информационно-психологической безопасности студентов,Гурова О.Н.,,Информационная культура и безопасность; Культура безопасности,с. 15–24,,,,"Тимофеева Л.Л., Гурова О.Н. Обеспечение информационно-психологической безопасности студентов // Кризисная психология. 2024. № 1 (2). С. 15–24"
2024,Статья в сборнике,Повышение компетентности педагогов в вопросах формирования культуры безопасности у детей дошкольного возраста,,МПСУ,Культура безопасности; Профессиональное развитие педагогов,с. 631–635,10.51944/9785977010252,,,"Тимофеева Л.Л. Повышение компетентности педагогов в вопросах формирования культуры безопасности у детей дошкольного возраста // Актуальные проблемы современной России: психология, педагогика, экономика, управление и право: сборник научных трудов / отв. ред.: А.Л. Третьяков. – Том 12. – Москва: МПСУ, 2024. – 1740 с. С. 631–635. – DOI: 10.51944/9785977010252"
2024,Статья в сборнике,Проблема формирования социальной и природной экологической грамотности у детей дошкольного возраста,Третьяков А.Л.,МПСУ,Функциональная грамотность; Экологическое образование,с. 738–744,10.51944/9785977010276,,,"Тимофеева Л.Л., Третьяков А.Л. Проблема формирования социальной и природной экологической грамотности у детей дошкольного возраста // Актуальные проблемы современной России: психология, педагогика, экономика, управление и право: сборник научных трудов / отв. ред.: А.Л. Третьяков. – Том 13. – Москва: МПСУ, 2024. – 2304 с. С. 738–744. – DOI: 10.51944/9785977010276"
2024,Статья в журнале,Состояние и перспективы развития экологического образования детей дошкольного возраста,Третьяков А.Л.,,Экологическое образование; Дошкольное образование,с. 159–170,,,,"Тимофеева Л.Л., Третьяков А.Л. Состояние и перспективы развития экологического образования детей дошкольного возраста // Мир образования – образование в мире. 2024. № 4. С. 159–170"
2024,Статья в сборнике,Социальная грамотность в дошкольном детстве: изучение феномена и формирование его предпосылок,,Государственный университет просвещения,Функциональная грамотность; Дошкольное образование,с. 342–347,,,,"Тимофеева Л.Л. Социальная грамотность в дошкольном детстве: изучение феномена и формирование его предпосылок // Педагогическое образование и современная наука: проблемы и перспективы развития: сборник научных трудов / отв. ред. В. К. Витенбек, А. С. Москвина, А. Л. Третьяков. – Выпуск 1. – Электрон. текстовые дан. (11,8 Мб). – Москва : Государственный университет просвещения, 2024. – 622 с. С. 342–347"
2024,Статья в сборнике,Теоретические основы использования ситуационных задач в дошкольном образовании,Королева Н.Н.,КУРО,Дошкольное образование,с. 59–63,,,,"Тимофеева Л.Л., Королева Н.Н. Теоретические основы использования ситуационных задач в дошкольном образовании// Дошкольное образование: проблемы, тенденции развития и инновации: сборник материалов Международной научно-практической интернет-конференции / под ред. Ю. А. Гладковой; Министерство образования Московской области, Корпоративный университет развития образования. – Москва: КУРО, 2024. – 266, [2] с. С. 59–63"
2024,Статья в сборнике,Формирование культуры безопасности как условие и результат позитивной социализации детей дошкольного возраста,,КУРО,Культура безопасности; Дошкольное образование,с. 36–42,,,,"Тимофеева Л.Л. Формирование культуры безопасности как условие и результат позитивной социализации детей дошкольного возраста // Дошкольное образование: проблемы, тенденции развития и инновации: сборник материалов Международной научно-практической интернет-конференции / под ред. Ю. А. Гладковой; Министерство образования Московской области, Корпоративный университет развития образования. – Москва: КУРО, 2024. – 266, [2] с. С. 36–42"
2024,Программа / планирование,Формирование культуры безопасности у детей от 3 до 8 лет. Методические материалы к ФОП ДО (парциальная программа),,Детство-Пресс,Культура безопасности; Планирование образовательной деятельности,,,,,"Тимофеева Л.Л. Формирование культуры безопасности у детей от 3 до 8 лет. Методические материалы к ФОП ДО (парциальная программа). СПб.: ООО «Издательство «Детство-пресс», 2024. 160 с"
2024,Статья в сборнике,Формирование предпосылок социальной грамотности на этапе дошкольного детства,,Елецкий государственный университет им. И.А. Бунина,Функциональная грамотность; Дошкольное образование,с. 95–99,,,,"Тимофеева Л.Л. Формирование предпосылок социальной грамотности на этапе дошкольного детства // Социальное развитие детей в мультикультурном мире: материалы международной научно-практической конференции, посвященной 45-летию кафедры дошкольного и специального образования Елецкого государственного университета им. И.А.Бунина. 28 февраля 2024 года. Елец: ФГБОУ ВО «Елецкий государственный университет им. И.А. Бунина», 2024. – 340 с. С. 95–99"
